Priority,Company Name,Type,Zone,Address,Est. Employees,Decision Maker,Title,Phone,Email,Recommended Approach,Key Talking Points,Supply Needs,Urgency
1,MEP Technologies,Metal Fabrication,Laval,"3100 Peugeot, Laval QC H7L 5C6",350,,,"(450) 682-0804",info@meptec.com,Cold email then in-person visit. High-volume sheet metal shop. Bring cutting tool samples and abrasive catalog.,ISO 9001 certified. High precision sheet metal for medical/high-tech. Emphasize quality consistency and vendor-managed inventory.,"Cutting tools, abrasives, fasteners, safety/PPE, metalworking fluids",High
2,Industrie Lemieux,Metal Fabrication,South Shore,"1401 Graham-Bell St, Boucherville QC J4B 6A1",150+,,,"(450) 441-4490",info@indlemieux.com,Cold email then in-person visit. Large steel/stainless fabrication. Ask about consumable spend and current suppliers.,35+ years. Dual facility. Steel and stainless specialization means high abrasive and cutting tool consumption.,"Abrasives, cutting tools (stainless-specific), welding consumables, safety/PPE",High
3,Groupe GMW,Metal Fabrication,West Island,"20425 Clark Graham Ave, Baie-d'Urfe QC H9X 3T5",51-200,,Purchasing,"(514) 481-7725",dpapis@gmw.ca,Email purchasing contact directly then follow up with in-person. Already have direct buyer contact.,Est. 1935. Robotic welding/bending cells. Laser cutting. Emphasize reliability and delivery speed.,"Welding consumables, cutting tools, abrasives, safety/PPE",High
4,Groupe Canam (Laval),Metal Fabrication,Laval,"807 Rue Marshall bureau 100, Laval QC H7S 1J9",100+,Louis Deschenes / Carolyne Perras,Plant Mgr / Corporate Buyer,"(450) 786-1300",,Phone call to arrange formal intro through corporate buyer. No public email - call first.,Canada's largest steel fabrication. Massive consumable spend. Structural steel = heavy cutting and welding.,"Welding consumables, cutting tools, abrasives, saw blades, safety/PPE",High
5,Robert Mitchell Inc,Metal Fabrication,Montreal,"350 Bd Decarie, Saint-Laurent QC H4L 0B4",50+,,,"(514) 747-2471",info@robertmitchell.com,"Cold email then in-person visit. 170+ year old company. 75,000 sq ft. Established relationship type account.",Complex metal assemblies. Welding and machining intensive. Long-term reliability matters.,"Cutting tools, welding consumables, abrasives, fasteners, metalworking fluids",High
6,GFI (Thomas & Betts / ABB),Metal Fabrication,West Island,"180 av Labrosse, Pointe-Claire QC H9R 1A1",50+,Bane Todorovic,Manager,"(514) 630-4877",bane.todorovic@tnb.com,Email Bane Todorovic directly. Large corporate (ABB). Probe for gaps in corporate purchasing agreements.,"120K sq ft. Stamping and sheet metal since 1953. Telecom/electronics/aerospace. Corporate parent is ABB.","Stamping dies, cutting tools, abrasives, metalworking fluids, safety/PPE",Medium
7,DDR-GTCA,Machine Shop,Montreal,"1215 Montee de Liesse, Saint-Laurent QC H4S 1J7",25-50,Daniel Nimijean,Owner/President,"(514) 335-4177",info@ddrgtca.ca,Cold email to owner then in-person visit. Owner-operated shops make fast decisions. Bring cutting tool samples.,35K sq ft automated facility. Owner is hands-on machinist background.,"Cutting tools, inserts, endmills, drills, abrasives, metalworking fluids",High
8,NSE Automatech,Machine Shop,Montreal,"1560 Rue Beaulac, Saint-Laurent QC H4R 1W8",51-200,,,"(514) 335-5205",info@nse-automatech.com,Cold email emphasizing aerospace-grade tooling and traceability. Follow up with in-person.,AS9100 certified. Bombardier/GE/Bell clients. High precision = premium tooling spend.,"Carbide inserts, endmills, drills, taps, metalworking fluids, measuring tools",High
9,Avior Integrated Products,Aerospace Supplier,Laval,"1001 Desserte Nord A-440, Laval QC H7L 3W3",200+,Stephen Kearns,President/CEO,"(450) 629-6200",rh_laval@avior.ca,Email then ask for purchasing referral. Large aerospace manufacturer. HR email found - request redirect to procurement.,"Boeing/Airbus/Bell approved. Sheet metal and composite. 150K sq ft across 3 units.","Cutting tools, rivets, fasteners, abrasives, safety/PPE, sealants",Medium
10,Howmet Aerospace (Machining),Aerospace Supplier,Laval,"5515 Ernest Cormier, Laval QC H7C 2S9",100+,,,"(450) 786-2001",,Phone call first. No public email. Large aerospace - likely has established vendor programs. Probe for specialty tooling gaps.,Titanium and aluminum machining. Structural aerospace parts. Premium tooling environment.,"Carbide inserts, specialty drills, coolants, measuring tools, safety/PPE",Medium
11,Howmet Aerospace (Casting),Aerospace Supplier,Laval,"4001 Autoroute des Laurentides, Laval QC H7L 3H7",100+,,,,, Phone call. Same company as Machining division. Investment casting facility. No public email.,Aluminum investment casting. Finishing and secondary machining operations.,"Abrasives, cutting tools, grinding wheels, coolants, safety/PPE",Medium
12,Heroux-Devtek,Aerospace Supplier,South Shore,"1111 Saint-Charles St W Suite 600, Longueuil QC J4K 5G4",500+,Karla Barkley,Mgr Operations/Procurement,,procurement@herouxdevtek.com,Email procurement team directly. Also contact Carmen Tamariz (Buyer). Large corporate with formal RFQ process.,Landing gear manufacturing. High precision machining. Heavy metal removal.,"Cutting tools, inserts, drills, metalworking fluids, abrasives, safety/PPE",High
13,Mitchell Aerospace,Aerospace Supplier,Montreal,"350 Bd Decarie, Saint-Laurent QC H4L 0B4",150,,,"(514) 748-3447",info@mitchellaerospace.com,Cold email then in-person visit. Aerospace foundry. Same area as parent Robert Mitchell.,Precision light alloy casting. Aluminum/Magnesium. Foundrion Group member.,"Abrasives, grinding wheels, cutting tools, safety/PPE, coolants",Medium
